intercept,sample_size,c_number,cov_mat,diag_cov,marginal_standardization_estimate,marginal_standardization_SE,ip_weighting_estimate,ip_weighting_robust_SE,ip_weighting_boot_SE
-2,1000,10,0,1,0.7181919119324055,0.13636425016094894,0.7649084193118494,0.1917412714849069,0.1585744957399615
-2,1000,10,0,1,0.44548245166549905,0.12538936863756966,0.5229382525162248,0.1906931753571148,0.15500083918529678
-2,1000,10,0,1,0.3756510031817658,0.12233108065918176,0.47766849074745266,0.17634459416702583,0.14189303521867333
-2,1000,10,0,1,0.6097296241264076,0.12353654909124273,0.7061766591315141,0.18545710436286894,0.14277324526435906
-2,1000,10,0,1,0.27932914295031375,0.11447762805384785,0.3515888004812645,0.164146704924983,0.1236147131332446
-2,1000,10,0,1,0.49927611580500497,0.13008238678506637,0.6149851895085311,0.18255969101594888,0.1485640116314459
-2,1000,10,0,1,0.3782554015612247,0.12373898267348332,0.40798898091959,0.17293458285060218,0.1371616171795369
-2,1000,10,0,1,0.2168340660456608,0.11881164031015524,0.26606924362814866,0.1823629464497178,0.13944474384769556
-2,1000,10,0,1,0.3386944349241,0.13105105880428658,0.41010698191261497,0.17909179626467342,0.1493408893857254
-2,1000,10,0,1,0.5798344066129152,0.13297133142836087,0.7512191672342945,0.18338027049749703,0.15660925516502097
-2,1000,10,0,1,0.3003744091017321,0.11587940834063051,0.356040069632274,0.1683798130657559,0.12657596795902012
-2,1000,10,0,1,0.23598494784420518,0.11612866522983813,0.26453151843831496,0.17958631997828634,0.12852917527199428
-2,1000,10,0,1,0.3621031913681054,0.1289508048689177,0.45272334605788,0.18015746770935132,0.1462331286583821
-2,1000,10,0,1,0.47872508700690075,0.12209446178944343,0.5430646194447736,0.18161759800622354,0.14599886311972674
-2,1000,10,0,1,0.4136576684639392,0.1287848110309162,0.4896969311820226,0.16856230528996557,0.14055404729238968
-2,1000,10,0,1,0.3115253681562196,0.11674314667735039,0.37790186250501934,0.18759899448186945,0.14695974750895602
-2,1000,10,0,1,0.3416563145069534,0.11601153121625711,0.3348786041336234,0.18063919425766067,0.1336743927324181
-2,1000,10,0,1,0.32886260391968286,0.12905686868089328,0.4381127732844765,0.1755920549710164,0.14489021770667554
-2,1000,10,0,1,0.5290535391728316,0.11593531495084017,0.6565150119618718,0.17522086861822148,0.1302597524275968
